clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
KNeighborsClassifier,rois_cc400,0,32,21,27,9,0.780487805,0.4375,0.595505618,0.542372881,0.7,0.64,0.609
KNeighborsClassifier,rois_cc400,1,34,25,23,7,0.829268293,0.520833333,0.662921348,0.596491228,0.78125,0.693877551,0.675
KNeighborsClassifier,rois_cc400,2,31,25,22,10,0.756097561,0.531914894,0.636363636,0.58490566,0.714285714,0.659574468,0.644
KNeighborsClassifier,rois_cc400,3,26,15,32,15,0.634146341,0.319148936,0.465909091,0.448275862,0.5,0.525252525,0.477
KNeighborsClassifier,rois_cc400,4,28,26,21,13,0.682926829,0.553191489,0.613636364,0.571428571,0.666666667,0.622222222,0.618
KNeighborsClassifier,rois_cc400,5,28,24,23,13,0.682926829,0.510638298,0.590909091,0.549019608,0.648648649,0.608695652,0.597
KNeighborsClassifier,rois_cc400,6,28,20,27,13,0.682926829,0.425531915,0.545454545,0.509090909,0.606060606,0.583333333,0.554
KNeighborsClassifier,rois_cc400,7,27,23,25,13,0.675,0.479166667,0.568181818,0.519230769,0.638888889,0.586956522,0.577
KNeighborsClassifier,rois_cc400,8,30,23,25,10,0.75,0.479166667,0.602272727,0.545454545,0.696969697,0.631578947,0.615
KNeighborsClassifier,rois_cc400,9,29,20,28,11,0.725,0.416666667,0.556818182,0.50877193,0.64516129,0.597938144,0.571
KNeighborsClassifier,rois_cc400,average,29.3,22.2,25.3,11.4,0.719878049,0.467375887,0.583797242,0.537504196,0.659793151,0.614942937,0.5937
GaussianNB,rois_cc400,0,29,23,25,12,0.707317073,0.479166667,0.584269663,0.537037037,0.657142857,0.610526316,0.593
GaussianNB,rois_cc400,1,25,35,13,16,0.609756098,0.729166667,0.674157303,0.657894737,0.68627451,0.632911392,0.669
GaussianNB,rois_cc400,2,26,35,12,15,0.634146341,0.744680851,0.693181818,0.684210526,0.7,0.658227848,0.689
GaussianNB,rois_cc400,3,27,34,13,14,0.658536585,0.723404255,0.693181818,0.675,0.708333333,0.666666667,0.691
GaussianNB,rois_cc400,4,31,25,22,10,0.756097561,0.531914894,0.636363636,0.58490566,0.714285714,0.659574468,0.644
GaussianNB,rois_cc400,5,30,22,25,11,0.731707317,0.468085106,0.590909091,0.545454545,0.666666667,0.625,0.6
